request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,26544.23,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-10,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 in full on 2025-11-03. This keeps the INR 187400 minimum protected over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,16723.24,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 125500 minimum protected, although INR 16723.24 is available today."
request_104,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 24700 minimum protected, although ZAR 0 is available today."
request_105,11020.07,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 73900 minimum protected, although INR 11020.07 is available today."
request_106,268.25,affordable_later,wait,2025-02-16:2207.7,2025-02-16,none,"Wait until 2025-02-16, then pay EUR 2207.7 in full. Paying sooner would put the EUR 1200 minimum at risk."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 1600 minimum protected, although EUR 0 is available today."
request_108,7836.4,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 24100 minimum protected, although ZAR 7836.4 is available today."
request_109,622.88,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,,stop:event_10081|stop:event_10080,"Use 3 installments of EUR 645.98, starting 2024-03-18 after stopping event_10081 and stopping event_10080. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 in full on 2026-04-03. This keeps the IDR 23022800 minimum protected over the next 90 days.
request_112,224.4,affordable_with_plan,full_payment,2024-06-05:271.7,2024-08-13,reduce_to:event_10400:13|reduce_to:event_10398:13,Pay EUR 271.7 in full on 2024-06-05 after reducing event_10400 to EUR 13 and reducing event_10398 to EUR 13. This keeps the EUR 500 minimum protected over the next 90 days.
request_113,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 82300 minimum protected, although INR 0 is available today."
request_114,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 113400 minimum protected, although INR 0 is available today."
request_115,16371.71,affordable_later,wait,2024-11-13:80500,2024-11-13,none,"Wait until 2024-11-13, then pay INR 80500 in full. Paying sooner would put the INR 38800 minimum at risk."
request_116,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 80300 minimum protected, although INR 0 is available today."
request_117,849.05,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10873:20.5|stop:event_10833,Pay EUR 880 in full on 2026-07-05 after reducing event_10873 to EUR 20.5 and stopping event_10833. This keeps the EUR 1000 minimum protected over the next 90 days.
request_118,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 600 minimum protected, although EUR 0 is available today."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 151200 minimum protected, although INR 0 is available today."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 in full on 2026-04-06. This keeps the IDR 20050300 minimum protected over the next 90 days.
request_121,453.77,affordable_later,wait,2024-05-14:633.6,2024-05-14,none,"Wait until 2024-05-14, then pay USD 633.6 in full. Paying sooner would put the USD 800 minimum at risk."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 in full on 2026-01-07. This keeps the IDR 18091200 minimum protected over the next 90 days.
request_124,1648.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-14,reduce_to:event_11473:38|reduce_to:event_11477:38|reduce_to:event_11480:38,"Use 3 installments of EUR 1076.12, starting 2024-06-11 after reducing event_11473 to EUR 38 and reducing event_11477 to EUR 38 and reducing event_11480 to EUR 38. This leaves at least EUR 1600 available."
request_125,5906.59,affordable_with_plan,full_payment,2025-11-06:6468,2026-01-13,reduce_to:event_11602:223.3|reduce_to:event_11600:223.3,Pay ZAR 6468 in full on 2025-11-06 after reducing event_11602 to ZAR 223.3 and reducing event_11600 to ZAR 223.3. This keeps the ZAR 11300 minimum protected over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 in full on 2026-07-03. This keeps the INR 129700 minimum protected over the next 90 days.
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 41000 minimum protected, although ZAR 0 is available today."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 in full on 2025-02-07. This keeps the ZAR 42600 minimum protected over the next 90 days.
request_129,24.52,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 800 minimum protected, although USD 24.52 is available today."
request_130,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1400 minimum protected, although USD 0 is available today."
request_131,1385.59,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-14,reduce_to:event_12065:21.2,"Use 3 installments of USD 643.14, starting 2025-05-06 after reducing event_12065 to USD 21.2. This leaves at least USD 1100 available."
request_132,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1100 minimum protected, although USD 0 is available today."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 9986200 minimum protected, although IDR 15770000 is available today."
request_134,6572482.24,affordable_later,wait,2025-10-16:21831000,2025-10-16,none,"Wait until 2025-10-16, then pay IDR 21831000 in full. Paying sooner would put the IDR 15902500 minimum at risk."
request_135,276.5,affordable_with_plan,full_payment,2026-07-06:304.8,2026-08-14,stop:event_12413,Pay USD 304.8 in full on 2026-07-06 after stopping event_12413. This keeps the USD 500 minimum protected over the next 90 days.
request_136,334.32,affordable_later,wait,2024-07-15:560.4,2024-07-15,none,"Wait until 2024-07-15, then pay USD 560.4 in full. Paying sooner would put the USD 1100 minimum at risk."
request_137,15350.76,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 71800 minimum protected, although INR 15350.76 is available today."
request_138,809.63,affordable_with_plan,partial_payment,2026-04-07:809.63|2026-04-14:447.31,2026-04-14,none,Pay EUR 809.63 today and the remaining EUR 447.31 on 2026-04-14. This completes the full request while keeping the EUR 2300 minimum protected.
request_139,773.21,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1500 minimum protected, although USD 773.21 is available today."
request_140,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 21600 minimum protected, although ZAR 0 is available today."
request_141,4005.19,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 67300 minimum protected, although INR 4005.19 is available today."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 in full on 2024-12-05. This keeps the USD 1700 minimum protected over the next 90 days.
request_143,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 11300 minimum protected, although ZAR 0 is available today."
request_144,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 600 minimum protected, although USD 0 is available today."
request_145,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 155400 minimum protected, although INR 0 is available today."
request_146,3268.82,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 108600 minimum protected, although INR 3268.82 is available today."
request_147,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 900 minimum protected, although EUR 0 is available today."
request_148,8017.74,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-13,reduce_to:event_13659:531.3|stop:event_13593,"Use 3 installments of ZAR 7710.56, starting 2024-06-14 after reducing event_13659 to ZAR 531.3 and stopping event_13593. This leaves at least ZAR 20000 available."
request_149,18810.23,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 42100 minimum protected, although ZAR 18810.23 is available today."
request_150,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 700 minimum protected, although EUR 0 is available today."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 in full on 2024-09-03. This keeps the IDR 31633600 minimum protected over the next 90 days.
request_152,2417.17,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 11900 minimum protected, although ZAR 2417.17 is available today."
request_153,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1400 minimum protected, although USD 0 is available today."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1300 available."
request_155,63846.85,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 56300 minimum protected, although INR 63846.85 is available today."
request_156,7493.86,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 26900 minimum protected, although ZAR 7493.86 is available today."
request_157,3815679.76,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 15714100 minimum protected, although IDR 3815679.76 is available today."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 in full on 2026-01-04. This keeps the ZAR 8700 minimum protected over the next 90 days.
request_160,486.99,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-08-13,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 23010400 minimum protected, although IDR 0 is available today."
request_162,993020.08,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 24161100 minimum protected, although IDR 993020.08 is available today."
request_163,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 26728700 minimum protected, although IDR 0 is available today."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 29550500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 in full on 2026-04-06. This keeps the INR 95000 minimum protected over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 in full on 2025-05-05. This keeps the ZAR 31200 minimum protected over the next 90 days.
request_168,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 114400 minimum protected, although INR 0 is available today."
request_169,38947.26,affordable_with_plan,full_payment,2024-03-04:41976,2024-05-18,stop:event_15488|reduce_to:event_15564:545.6|reduce_to:event_15559:545.6,Pay ZAR 41976 in full on 2024-03-04 after stopping event_15488 and reducing event_15564 to ZAR 545.6 and reducing event_15559 to ZAR 545.6. This keeps the ZAR 18700 minimum protected over the next 90 days.
request_170,35269976.18,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-13,reduce_to:event_15669:779950,"Use 3 installments of IDR 12804480, starting 2025-08-06 after reducing event_15669 to IDR 779950. This leaves at least IDR 24715800 available."
request_171,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 500 minimum protected, although EUR 0 is available today."
request_172,8749.09,affordable_with_plan,partial_payment,2024-06-05:8749.09|2024-06-14:1450.91,2024-06-14,none,Pay ZAR 8749.09 today and the remaining ZAR 1450.91 on 2024-06-14. This completes the full request while keeping the ZAR 27200 minimum protected.
request_173,72047.19,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15941:2105|reduce_to:event_15946:2105|reduce_to:event_15945:2105,"Use 3 installments of INR 39173.33, starting 2025-11-21 after reducing event_15941 to INR 2105 and reducing event_15946 to INR 2105 and reducing event_15945 to INR 2105. This leaves at least INR 79100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 in full on 2024-09-06. This keeps the EUR 1700 minimum protected over the next 90 days.
request_176,537.47,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 600 minimum protected, although EUR 537.47 is available today."
request_177,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1300 minimum protected, although USD 0 is available today."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1400 available."
request_179,17726207.62,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 41430800 minimum protected, although IDR 17726207.62 is available today."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 in full on 2026-07-06. This keeps the INR 37300 minimum protected over the next 90 days.
